gene_symbol
Rps19
Ubb
Rps6
Rps3
Hmgb1
Ppia
Rpsa
Rpl24
Tuba1a
Rpl29
Actg1
Cfl1
Stmn1
Actb
Ywhae
Prdx2
Hsp90aa1
Tubb2b
Gnas
Map1b
Vim
Ptn
Sox4
Lhx2
Nfib
Mdk
Eif4g2
Marcks
Pax6
Sfrp1
Ppp1ca
Nedd4
Sox2
H1f0
Hspd1
Cdc42
Gas1
Ctbp1
Hes1
Rdx
Bcas2
Foxg1
Gpm6b
Kif5b
Epha5
Ctnnb1
Bsg
Kif21a
Nfix
Efnb1
Sox9
Rnf7
Bax
Pdia6
C1qbp
Arpc2
Fscn1
Mt3
Ywhah
Smarce1
Nr2f1
Cd81
Rac1
Actl6a
Cfdp1
Rhoa
Pafah1b1
Pnn
Smarcb1
Calr
Rab10
Smarcc1
Rgcc
Caprin1
Auts2
Zfp36l1
Dnajb6
Cd24a
Gsk3b
Epha4
Nr2e1
Pgrmc1
Map2k2
Arx
Vangl2
Pbrm1
Llph
Cdh2
Akt1
Ndn
Dbn1
Actr3
Ssna1
Kif5c
Ttyh1
Hsd17b12
Rtn4
Arhgdia
Igfbp2
Ppp1cb
Nrarp
Pdia3
Fezf2
Hes5
Evl
Ncam1
Pcm1
Plpp3
Ube3a
Prkar1a
Pkn2
Stk11
Uchl1
Nde1
Cpe
Ptprz1
Cd63
Smarcd1
Ptprs
Smarca4
Pitpna
Arid1a
Ctnna1
Brd7
Top2b
Rab1a
Ift74
Brd2
Ythdf2
Nipbl
Neurog2
Cadm1
Rcc2
Cdk6
Emx1
Cux1
Ncan
Bcl11a
Tubb3
Smarcd3
Gtpbp4
Notch1
Adk
Zmiz1
Peli1
Smn1
Pdcd10
Alcam
Akt1s1
Grb2
Poldip2
Sh3glb1
Cyth2
Ezr
Aplp2
Hey1
Ifrd1
Tubb2a
Prkaca
Tmx1
Cbfb
Fyn
Tsc22d4
Stk25
Pou3f2
Dab1
Ptpra
Mrpl4
Rock1
Gli3
Enah
Ppp3ca
Vrk1
Pak2
Pdpn
Foxp1
Jam3
Ilk
Vamp3
Rgma
Cdon
Rab8a
Bcl7a
Wnk1
Mkln1
Alkbh1
Tnik
Ythdf1
Bcl10
Crk
